author,title,type,tag,sub-tag
Joan Didion,Notes on John,non-fiction,essays,
Joe Posnanski,The Baseball 100,non-fiction,sports,
Joe Studwell,How Asia Works,non-fiction,international,asia
Joel Mokyr,A Culture of Growth,non-fiction,economics,
Johann Wolfgang von Goethe,Faust,fiction,,
John Barton,A History of the Bible,non-fiction,religion,history
John Bellamy Foster,The Great Financial Crisis: Causes and Consequences,non-fiction,finance,history
John Berger,Landscapes: John Berger on Art,non-fiction,art,criticism
John Berger,Portraits: John Berger on Artists,non-fiction,art,criticism
John Berger,Ways of Seeing,non-fiction,art,theory
John Berger,Landscapes,non-fiction,art,criticism
John Berger,Portraits,non-fiction,art,criticism
John Burnside,The Dumb House,fiction,,
John Cheever,The Swimmer,fiction,,
John Doerr,Measure What Matters,non-fiction,business,management
John Ganz,When the Clock Broke,non-fiction,history,political
John Gray,Straw Dogs: Thoughts on Humans and Other Animals,non-fiction,philosophy,political philosophy
John Kay,The Corporation in the 21st Century,non-fiction,economics,
Ben Bernanke,21st Century Monetary Policy,non-fiction,economics,monetary
John le Carré,The Spy Who Came In from the Cold,fiction,,
John Steinbeck,Of Mice and Men,fiction,,
John Steinbeck,Travels with Charley,non-fiction,reportage,
John Williams,Stoner,fiction,,
Jon Fosse,Septology,fiction,,
Jon Fosse,Aliss at the Fire,fiction,,
Jon Gertner,The Idea Factory,non-fiction,history,technology
Jon Meacham,Thomas Jefferson,non-fiction,biography,politics
Jonathan D. Spence,The Search For Modern China,non-fiction,international,china
Jonathan Franzen,Purity,fiction,,
Jonathan Franzen,Freedom,fiction,,
Jonathan Franzen,The Corrections,fiction,,
Jonathan Mahler,The Gods of New York,non-fiction,history,new york
Jonathan Safran Foer,Everything Is Illuminated,fiction,,
Jordan Ellenberg,How Not to Be Wrong: The Power of Mathematical Thinking,non-fiction,thinking,
Joseph Heller,Catch-22,fiction,,
Joseph Roth,The Legend of The Holy Drinker,fiction,,
Joshua Cohen,Attention,non-fiction,essays,
Joshua Cohen,The Netanyahus,fiction,,
Julia Galef,The Scout Mindset,non-fiction,thinking,
Julia Galef,The Scout Mindset: Why Some People See Things Clearly and Others Don't,non-fiction,thinking,
Julian Barnes,The Sense of an Ending,fiction,,
Kalani Pickhart,I Will Die in a Foreign Land,fiction,,
Kaoru Takamura,Lady Joker (Volume One),fiction,,
Karen Armstrong,The Case for God,non-fiction,religion,
Karen Armstrong,A History of God,non-fiction,religion,
"Karl Marx, Friedrich Engels",Das Kapital,fiction,,
Karl Ove Knausgård,A Death in the Family,fiction,,
Karl Polanyi,The Great Transformation: The Political and Economic Origins of Our Time,non-fiction,politics,
Karl Popper,The Open Society and Its Enemies,non-fiction,philosophy,science
Kate Raworth,Doughnut Economics,non-fiction,economics,
Kaveh Akbar,Martyr!,fiction,,
Kazuo Ishiguro,The Remains of the Day,fiction,,
Kazuo Ishiguro,Never Let Me Go,fiction,,
Ken Binmore,Calculus: Concepts and Methods,non-fiction,mathematics,
Keyu Jin,The New China Playbook,non-fiction,international,china
Kenneth A. Shepsle et al.,Inside Congressional Committees,non-fiction,politics,
Kevin J. Mitchell,Free Agents,non-fiction,science,cognitive
Kevin Kelly,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,non-fiction,technology,
Kevin Starr,Americans and the California Dream,non-fiction,history,california
Kirino Natsuo,Out,fiction,,
Krista Tippett,Becoming Wise,non-fiction,philosophy,
Krista Tippett,Einstein’s God,non-fiction,religion,
Kurt Vonnegut Jr.,Slaughterhouse-Five,fiction,,
Langston Hughes,I Been a House and Other Plays,fiction,,
Larry McMurtry,Lonesome Dove,fiction,,
Larry Siedentop,Inventing the Individual,non-fiction,history,intellectual
László Krasznahorkai,"A Mountain to the North, a Lake to the South, Paths to the West, a River to the East",fiction,,
László Krasznahorkai,Satantango,fiction,,
László Krasznahorkai,The Last Wolf,fiction,,
Laurent Binet,HHhH,fiction,,
